ID,Module,Type,Requirement,Screen Route,Backend API Requirement,Test Case Summary,Status,Build Phase,Gate
M01-UI-001,M01 Auth,UI,"Registration for Legal Professionals and Business Users only; Admin creates accounts internally; no public registration","InviteUserDialog; /accept-invitation/:token; /set-password/:token","POST /invitations (admin only); no public POST /auth/register","Non-admin cannot self-register; admin invite creates pending user",PARTIAL,Phase A,Gate A
M01-UI-002,M01 Auth,UI,"User fields: full name, email, phone, organization, role","AcceptInvitationPage; InviteUserDialog; ProfileSettings","users table; validation on create/update","All 5 fields captured validated and persisted on invite accept",PARTIAL,Phase A,Gate A
M01-UI-003,M01 Auth,UI,Password creation with strength indicator,SetPasswordPage; ForgotPasswordPage,Password policy service; bcrypt/argon2 hash,Weak password rejected; strength bar updates live,PARTIAL,Phase A,Gate A
M01-UI-004,M01 Auth,UI,Email verification interface,MISSING,POST /auth/verify-email; verification token; email service,User receives email; verify screen confirms; unverified user blocked,FAIL,Phase A,Gate A
M01-UI-005,M01 Auth,UI,Login page with email and password,/login,POST /auth/login; rate limiting,Valid credentials proceed to MFA; invalid shows error,PARTIAL,Phase A,Gate A
M01-UI-006,M01 Auth,UI,Password recovery/reset flow,/forgot-password,POST /auth/forgot-password; POST /auth/reset-password,Reset email sent; token link sets new password,PARTIAL,Phase A,Gate A
M01-UI-007,M01 Auth,UI,Multi-factor authentication (mandatory),/verify-mfa; /setup-mfa/:token,POST /auth/mfa/verify; POST /auth/mfa/setup,Login blocked until MFA verified; skip not allowed,PARTIAL,Phase A,Gate A
M01-UI-008,M01 Auth,UI,Session management and timeout controls,SystemSettings; AdminDashboard,Session store; idle timeout middleware; DELETE /auth/sessions/:id,Session expires after configured idle time; user redirected to login,FAIL,Phase A,Gate A
M01-UI-009,M01 Auth,UI,Role-based dashboard redirection,/dashboard via DashboardLayout,JWT includes role; redirect logic,Each role lands on correct dashboard after login,PARTIAL,Phase A,Gate A
M01-UI-010,M01 Auth,UI,Profile management screen,/profile-settings; /preferences,GET/PATCH /auth/me; PATCH /users/:id/profile,User edits profile; changes persist,PARTIAL,Phase A,Gate A
M01-UI-011,M01 Auth,UI,Login attempt tracking,LoginPage; SecurityAudit,login_activity table; POST /auth/login logs attempts,Failed/successful logins visible in audit; lockout after max attempts,PARTIAL,Phase A,Gate A
M01-FEAT-001,M01 Auth,Feature,Internal user accounts only (no public registration),N/A,Auth policy invite-only provisioning,Pen-test: no public signup endpoint,PARTIAL,Phase A,Gate A
M01-FEAT-002,M01 Auth,Feature,"RBAC: Legal Practitioner Compliance Officer Manager Admin",All modules,RBAC middleware on all routes,User denied API/UI for unauthorized module,FAIL,Phase A,Gate A
M01-FEAT-003,M01 Auth,Feature,Mandatory multi-factor authentication,N/A,Org policy mfa_required=true,Account without MFA cannot access system,PARTIAL,Phase A,Gate A
M01-FEAT-004,M01 Auth,Feature,Organization/business affiliation tracking,Profile; invite forms,organizations table; users.organization_id FK,All users linked to org; reports filterable by org,PARTIAL,Phase A,Gate A
M01-FEAT-005,M01 Auth,Feature,Session monitoring and timeout controls,UserManagement sessions tab,Active session registry; heartbeat; timeout job,Admin sees active sessions; idle user logged out,FAIL,Phase A,Gate A
M01-FEAT-006,M01 Auth,Feature,Audit-ready user access tracking,SecurityAudit,Append-only audit_logs + login_activity,Every login/logout/permission change logged with IP timestamp,FAIL,Phase A,Gate A
M02-UI-001,M02 Dashboard,UI,Role-based dashboard views,/dashboard,GET /dashboard aggregated metrics,4 distinct dashboards render per role,PARTIAL,Phase B,Gate B
M02-UI-002,M02 Dashboard,UI,"CO dashboard: pending obligations upcoming deadlines regulatory alerts",ComplianceOfficerDashboard,GET /dashboard/compliance-officer,Cards show live counts from obligations and alerts,PARTIAL,Phase B,Gate B
M02-UI-003,M02 Dashboard,UI,"LP dashboard: document requests case updates research tools",LegalPractitionerDashboard,GET /dashboard/legal-practitioner,All three sections populated with live data,PARTIAL,Phase B,Gate B
M02-UI-004,M02 Dashboard,UI,"Manager dashboard: team activity compliance status audit readiness",ManagerDashboard,GET /dashboard/manager,Team activity feed and audit readiness score live,PARTIAL,Phase B,Gate B
M02-UI-005,M02 Dashboard,UI,"Admin dashboard: system usage user statistics content updates",AdminDashboard,GET /dashboard/admin,User counts module usage recent content updates live,PARTIAL,Phase B,Gate B
M02-UI-006,M02 Dashboard,UI,"Summary cards (active compliance new regulations pending reviews)",All dashboards,Aggregation queries across modules,Counts match source module data,PARTIAL,Phase B,Gate B
M02-UI-007,M02 Dashboard,UI,Recent activity feed,All dashboards,GET /activity?limit=20,Feed updates when user performs actions,PARTIAL,Phase B,Gate B
M02-UI-008,M02 Dashboard,UI,"Quick actions (search regulations upload document run compliance check)",Dashboard buttons,Deep links to M03 M06 M04/M08,Each button navigates and initiates correct action,PARTIAL,Phase B,Gate B
M02-UI-009,M02 Dashboard,UI,Notification center with unread counts,Header; /notifications,GET /notifications/unread-count,Badge updates when notification read/created,PARTIAL,Phase B,Gate B
M02-UI-010,M02 Dashboard,UI,System announcements,Dashboard; NotificationCenter,GET /notifications?type=announcement,Admin broadcast appears on dashboard,PARTIAL,Phase B,Gate B
M02-UI-011,M02 Dashboard,UI,Compliance trend charts,CO/Manager dashboards,GET /analytics/compliance/trends,Chart data matches compliance module,PARTIAL,Phase B,Gate B
M02-UI-012,M02 Dashboard,UI,Mobile-responsive dashboard layout,All dashboards,Responsive CSS,Usable on 375px viewport; no horizontal scroll,PARTIAL,Phase B,Gate B
M02-FEAT-001,M02 Dashboard,Feature,Personalized dashboards,N/A,Role-scoped data queries,CO never sees admin-only metrics,PARTIAL,Phase B,Gate B
M02-FEAT-002,M02 Dashboard,Feature,Real-time compliance and regulatory overview,N/A,WebSocket or polling,Dashboard updates within 30s of source change,FAIL,Phase B,Gate B
M02-FEAT-003,M02 Dashboard,Feature,"Quick access to research document compliance tools",N/A,Navigation and pre-filled forms,Quick action completes intended workflow,PARTIAL,Phase B,Gate B
M02-FEAT-004,M02 Dashboard,Feature,Notification integration for regulatory updates,N/A,Event regulatory_update.created to notification,New regulation triggers dashboard alert,FAIL,Phase B,Gate B
M02-FEAT-005,M02 Dashboard,Feature,Visual representation of key metrics,N/A,Metrics aggregation service,Charts reflect accurate live data,PARTIAL,Phase B,Gate B
M03-UI-001,M03 Knowledge Base,UI,Legal repository with search and filters,/knowledge-base,GET /documents?filters,List filters by type jurisdiction industry,PARTIAL,Phase D,Gate D
M03-UI-002,M03 Knowledge Base,UI,"Document types: laws regulations case law templates guidance",/knowledge-base,legal_documents.type enum,All 5 types filterable and displayable,PARTIAL,Phase D,Gate D
M03-UI-003,M03 Knowledge Base,UI,Jurisdiction and industry filtering,/knowledge-base,Indexed filter fields,Filter returns correct subset,PARTIAL,Phase D,Gate D
M03-UI-004,M03 Knowledge Base,UI,Full-text search with highlighting,/knowledge-base,Search index with ts_headline highlighting,Search term highlighted in results and document body,FAIL,Phase D,Gate D
M03-UI-005,M03 Knowledge Base,UI,Document version control (amended versions),/knowledge-base detail,document_versions table,User views version history of amended regulation,PARTIAL,Phase D,Gate D
M03-UI-006,M03 Knowledge Base,UI,Annotations and bookmarking,/knowledge-base,POST annotations and bookmarks,Annotation saved and reloads on revisit,PARTIAL,Phase D,Gate D
M03-UI-007,M03 Knowledge Base,UI,Citation and reference linking,/knowledge-base detail,Citation graph; linked document IDs,Clicking citation opens referenced document,PARTIAL,Phase D,Gate D
M03-UI-008,M03 Knowledge Base,UI,Download PDF and print,/knowledge-base,GET /documents/:id/download,PDF downloads; print layout correct,PARTIAL,Phase D,Gate D
M03-UI-009,M03 Knowledge Base,UI,Favorites and saved searches,/knowledge-base tabs,POST /saved-searches,Saved search re-runs with same filters,PARTIAL,Phase D,Gate D
M03-UI-010,M03 Knowledge Base,UI,Admin upload and categorization,/knowledge-base upload,POST /documents admin; S3 storage,Admin uploads PDF; appears categorized,PARTIAL,Phase D,Gate D
M03-FEAT-001,M03 Knowledge Base,Feature,Centralized legal knowledge base,N/A,Single document store per org,All legal content in one searchable repo,PARTIAL,Phase D,Gate D
M03-FEAT-002,M03 Knowledge Base,Feature,Multi-jurisdiction and multi-industry content,N/A,Metadata on all documents,Content tagged Rwanda EAC finance labor etc,PARTIAL,Phase D,Gate D
M03-FEAT-003,M03 Knowledge Base,Feature,Full-text search with advanced filters,N/A,Search index with combined filters,Query and filters return ranked results,FAIL,Phase D,Gate D
M03-FEAT-004,M03 Knowledge Base,Feature,Version control for amended regulations,N/A,Version diff; effective dates,Amended law shows prior version history,PARTIAL,Phase D,Gate D
M03-FEAT-005,M03 Knowledge Base,Feature,User annotations and bookmarks,N/A,Per-user persistence,Annotations survive logout/login,FAIL,Phase D,Gate D
M03-FEAT-006,M03 Knowledge Base,Feature,Citation linking for research,N/A,Bidirectional citation links,Follow citation chain across documents,FAIL,Phase D,Gate D
M03-FEAT-007,M03 Knowledge Base,Feature,Admin-managed content updates,N/A,Admin CRUD and audit log,Only admin can publish; change logged,FAIL,Phase D,Gate D
M04-UI-001,M04 Compliance,UI,Compliance dashboard,/compliance-tracking,GET /compliance/metrics,Summary metrics at top of module,PARTIAL,Phase C,Gate C
M04-UI-002,M04 Compliance,UI,Obligation library (requirements by regulation),/compliance-tracking,GET /obligations,Obligations listed with regulation reference,PARTIAL,Phase C,Gate C
M04-UI-003,M04 Compliance,UI,Assignment to responsible persons/teams,/compliance-tracking,POST /obligations/:id/assign,Assign user/team; assignee sees obligation,PARTIAL,Phase C,Gate C
M04-UI-004,M04 Compliance,UI,"Status: compliant partially compliant non-compliant",/compliance-tracking,PATCH /obligations/:id/status,All 3 statuses selectable and displayed,PARTIAL,Phase C,Gate C
M04-UI-005,M04 Compliance,UI,Evidence upload,/compliance-tracking,POST /obligations/:id/evidence multipart,File uploads linked to obligation,PARTIAL,Phase C,Gate C
M04-UI-006,M04 Compliance,UI,Audit trail for compliance actions,/compliance-tracking actions tab,GET /obligations/:id/actions,Every status change logged with user and timestamp,PARTIAL,Phase C,Gate C
M04-UI-007,M04 Compliance,UI,Compliance calendar with deadlines,MISSING,GET /obligations/calendar,Calendar view shows obligations by due date,FAIL,Phase C,Gate C
M04-UI-008,M04 Compliance,UI,Automated status calculation,/compliance-tracking,Status rules engine,Overdue with no evidence becomes non-compliant auto,FAIL,Phase C,Gate C
M04-UI-009,M04 Compliance,UI,Compliance heat map (department regulation),/compliance-tracking,GET /compliance/heatmap,Heat map reflects live obligation data,PARTIAL,Phase C,Gate C
M04-UI-010,M04 Compliance,UI,Export compliance reports,/compliance-tracking,POST /reports/compliance/export,PDF/Excel downloads with obligation data,FAIL,Phase C,Gate C
M04-FEAT-001,M04 Compliance,Feature,Structured obligation management,N/A,CRUD and regulation FK,Create/edit/delete obligations persist,PARTIAL,Phase C,Gate C
M04-FEAT-002,M04 Compliance,Feature,Assignment of responsibilities,N/A,Assignment notifications,Assignee notified on assignment,FAIL,Phase C,Gate C
M04-FEAT-003,M04 Compliance,Feature,Status tracking with evidence upload,N/A,Evidence required for compliant status,Cannot mark compliant without evidence,FAIL,Phase C,Gate C
M04-FEAT-004,M04 Compliance,Feature,Automated deadline calendar,N/A,Cron deadline reminders,Calendar auto-populated from obligation dates,FAIL,Phase C,Gate C
M04-FEAT-005,M04 Compliance,Feature,Audit trail for compliance activities,N/A,Append-only compliance_actions,Auditor can reconstruct full history,FAIL,Phase C,Gate C
M04-FEAT-006,M04 Compliance,Feature,Heat map for visual risk identification,N/A,Aggregation by dept and regulation,Colors match risk levels accurately,PARTIAL,Phase C,Gate C
M04-FEAT-007,M04 Compliance,Feature,Report generation for audits,N/A,Report builder and export,Audit report includes obligations and evidence,FAIL,Phase C,Gate C
M05-UI-001,M05 Regulatory,UI,Regulatory feed (auto-fetched or manually entered),/regulatory-updates,GET /regulatory-updates; sync job,Feed shows manual and API-sourced updates,PARTIAL,Phase C,Gate C
M05-UI-002,M05 Regulatory,UI,"Alert categories: new law amendment repeal guidance",/regulatory-updates,category enum filter,All 4 categories filterable,PARTIAL,Phase C,Gate C
